rental_id,listing_state,vehicle_type,is_motorized,vehicle_make,vehicle_model,vehicle_year,vehicle_length,cancellation_policy,sleeps,is_festival_friendly,is_tailgate_friendly,is_pet_friendly,has_toilet,has_generator,has_inside_shower,has_refrigerator,has_wifi
1224090059040,OR,c,TRUE,Georgie Boy,Maverick 23rk,1998,20 - 25,moderate,4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
1418255219280,CA,c,TRUE,Forest River,Sunseeker,2017,30 - 35,flexible,8,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1457039002080,CA,a,TRUE,Fleetwood,Revolution,2004,>= 40,moderate,4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
1586810770560,MT,c,TRUE,Thor Motor Coach,Freedom Elite,2017,25 - 30,moderate,4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1659084042000,CA,c,TRUE,Other,Other,2012,25 - 30,strict,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1689126083280,SC,a,TRUE,Woodland Park,challenger,2003,30 - 35,moderate,4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
1789840795440,CT,c,TRUE,Winnebago,spirit,2017,30 - 35,strict,7,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
1890924876960,MT,c,TRUE,forest river,Forester,2017,30 - 35,moderate,10,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1904714666400,AZ,trailer,FALSE,Little Guy,Tag Max XL Outback,2018,10 - 15,flexible,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2014294243200,GA,fifth-wheel,FALSE,Jayco,Eagle 355MBQS,2019,>= 40,moderate,7,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2019096044880,CA,c,TRUE,Other,Four Winds Five Thousand,2006,25 - 30,moderate,7,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2056771719600,CA,c,TRUE,Itasca,Spirit,2002,20 - 25,moderate,6,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2099618565360,CA,c,TRUE,Winnebago,Minnie Winnie,2017,20 - 25,flexible,6,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2112300246720,NC,a,TRUE,Thor Motor Coach,Hurricane,2007,35 - 40,,7,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2120549495760,CA,c,TRUE,Coachmen,Leprechaun,2017,20 - 25,moderate,6,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2151330275760,TN,c,TRUE,Coachmen,Freelander,2016,25 - 30,moderate,6,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2290951893840,TX,c,TRUE,coachmen,Leprechaun,2016,30 - 35,strict,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2317423364640,CA,c,TRUE,Jayco,Envoy 31L,2018,30 - 35,flexible,8,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
2366549489520,CA,c,TRUE,Other,Other,2013,25 - 30,strict,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2375168107920,WI,trailer,FALSE,Little Guy,4 Wide,2008,10 - 15,strict,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2396222161440,OR,c,TRUE,Fleetwood,Tioga Sl,1998,30 - 35,strict,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2407303242240,TX,trailer,FALSE,NUCAMP,T@G MAX XL 6 Wide,2017,10 - 15,strict,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2437960899120,CA,c,TRUE,Forest River,Forester,2015,25 - 30,flexible,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2493858795600,NJ,c,TRUE,Winnebago,Avion View 23j,2008,25 - 30,moderate,6,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
2548771707120,ON,a,TRUE,Coachmen,Encounter,2015,35 - 40,strict,7,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
2573026961760,CA,c,TRUE,Fleetwood,Tioga,2007,25 - 30,strict,10,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2581029964560,GA,c,TRUE,Forest River,Forestor 3011DS,2018,30 - 35,strict,8,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
2622153086640,MI,a,TRUE,Tiffin Motorhomes,Tiffin Allegro Rear Engine Diesel,2011,35 - 40,moderate,7,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
2704522453920,PA,c,TRUE,Forest River,Sunseeker,2013,30 - 35,strict,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2785291220640,PA,a,TRUE,Forest River,Georgetown,2015,35 - 40,strict,7,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2841681609600,CA,camper-van,TRUE,Ford,Econoline 150,1997,15 - 20,moderate,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2924789715600,MI,c,TRUE,Coachmen,Freelander,2017,20 - 25,moderate,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2938456381920,WA,a,TRUE,Thor Motor Coach,Hurricane,2006,30 - 35,strict,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2983519443840,FL,c,TRUE,,,2018,30 - 35,moderate,10,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
3052591514160,SC,c,TRUE,Coachmen,Freelander,2018,30 - 35,strict,6,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3301423339680,MN,fifth-wheel,FALSE,Prime Time,Crusader,2017,35 - 40,flexible,9,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
3353381296320,NM,c,TRUE,Thor Motor Coach,Chateau Citation,2014,25 - 30,flexible,4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
3420237150480,FL,trailer,FALSE,Airstream,International,2016,20 - 25,moderate,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
3617357265600,CA,toy-hauler,FALSE,Pacific Coachworks,Powerlite,2017,20 - 25,moderate,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3635456364240,CA,truck-camper,FALSE,Other,Other,2011,10 - 15,flexible,4,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
3639026934720,NY,c,TRUE,Other,Other,2016,30 - 35,strict,7,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3700342248480,VA,toy-hauler,FALSE,Forest River,Cherokee Wolf Pup,2016,15 - 20,moderate,5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
3751315220160,CA,trailer,FALSE,Other,Other,2018,20 - 25,moderate,3,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
3755378283120,FL,trailer,FALSE,Launch outfitter,27bhu,2018,30 - 35,strict,8,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3760672577280,FL,a,TRUE,Itasca,Latitude,2008,35 - 40,flexible,4,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3763873778400,KY,a,TRUE,Coachmen,Pursuit,2017,30 - 35,strict,8,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
3764489394000,UT,camper-van,TRUE,Ram,Promaster,2016,20 - 25,strict,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3786282186240,WA,c,TRUE,Coachmen,Leprechaun,2016,25 - 30,strict,7,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3797240143920,AZ,c,TRUE,Thor Motor Coach,Four Winds,2015,30 - 35,moderate,10,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
3845381283840,KS,c,TRUE,Itasca,Impulse,2010,30 - 35,strict,8,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
3850429331760,TX,trailer,FALSE,keystone,Summerland,2016,20 - 25,flexible,5,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
3852029932320,AZ,camper-van,TRUE,Ford Expedition Camper Van,Camper Van Adventure Rig,2005,15 - 20,moderate,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
3885150051600,CA,trailer,FALSE,Riverside Rv,Whitewater Retro,2018,25 - 30,moderate,6,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
3903126027120,SC,c,TRUE,Fleetwood,Tioga,2007,30 - 35,strict,6,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3938339239440,FL,a,TRUE,Other,Other,2017,25 - 30,moderate,6,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3938831731920,MN,camper-van,TRUE,Mercedes-Benz,Sprinter,2016,10 - 15,flexible,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3953483383200,AZ,c,TRUE,Winnebago,Minnie Winnie,2018,20 - 25,strict,6,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3974168067360,CA,c,TRUE,Forest River,Other,2018,20 - 25,moderate,5,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4029942840720,MI,trailer,FALSE,Forest River,Salem,2017,30 - 35,flexible,6,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
4049888786160,FL,trailer,FALSE,Keystone,Passport,2017,20 - 25,moderate,4,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4053582479760,IN,trailer,FALSE,Airstream,International,2017,20 - 25,moderate,6,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
4212780673920,FL,c,TRUE,Coachmen,Leprechaun,2016,25 - 30,flexible,6,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4255627519680,CA,c,TRUE,Winnebago,Minnie Winnie,2017,25 - 30,moderate,6,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4282837729200,CA,c,TRUE,Thor Motor Coach,Four Winds Majestic,2013,25 - 30,strict,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4290594485760,CO,c,TRUE,Coachmen,Freelander,2014,30 - 35,moderate,9,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
4492147033200,CA,c,TRUE,Majestic Leisure Craft,Other,2002,20 - 25,moderate,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4528345230480,TX,c,TRUE,Forest River,Other,2014,25 - 30,strict,6,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
4552600485120,NJ,b,TRUE,Airstream,Interstate,2017,20 - 25,flexible,4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4558633518000,NJ,b,TRUE,Itasca,Viva,2016,20 - 25,strict,6,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4573900784880,TX,trailer,FALSE,forest river,Wildwood X-Lite,2018,20 - 25,flexible,5,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
4614654537600,CA,c,TRUE,Thor Chateau,Chateau,2018,30 - 35,moderate,8,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
4618717600560,TX,c,TRUE,Coachmen,Leprechaun,2015,20 - 25,moderate,6,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4657747629600,IL,camper-van,TRUE,Toyota,Sienna,2005,15 - 20,moderate,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
4698870751680,WA,trailer,FALSE,Forest River,Wildwood,2017,20 - 25,moderate,3,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
4704903784560,CA,trailer,FALSE,Other,Travel Trailer,2009,10 - 15,flexible,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4745041921680,IL,c,TRUE,Forest River,Other,2017,20 - 25,strict,4,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
4773606485520,CA,camper-van,TRUE,Mercedes-Benz,Sprinter,2014,20 - 25,custom,2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
4816207085040,GA,a,TRUE,Winnebago,Forza,2017,35 - 40,flexible,4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
5014312185120,GA,trailer,FALSE,Forest River,R-Pod,2018,15 - 20,moderate,4,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
5072795667120,HI,camper-van,TRUE,,,2014,15 - 20,strict,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5094957828720,NV,camper-van,TRUE,Toyota,Tacoma,2021,15 - 20,,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5125246116240,UT,trailer,FALSE,forest river,R-Pod (RP 176),2018,20 - 25,moderate,4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
5144330199840,MD,c,TRUE,Jayco,Greyhawk,2005,30 - 35,flexible,6,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
5175972841680,TX,trailer,FALSE,Coachmen,Clipper,2016,15 - 20,flexible,4,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
5256618485280,CO,c,TRUE,Winnebago,Minnie Winnie,1998,30 - 35,flexible,8,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
5279519385600,CA,c,TRUE,Mercedes-Benz,Prism,2018,20 - 25,strict,6,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
5281489355520,OH,c,TRUE,Fleetwood,Jamboree Searcher,1994,20 - 25,flexible,6,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
5325444309360,CA,a,TRUE,Forest River,Georgetown 36B5,2017,35 - 40,moderate,8,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
5339972837520,NM,trailer,FALSE,Forest River R Pod,Hood River 178,2019,15 - 20,moderate,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
5353762626960,FL,trailer,FALSE,Crossroads,SunsetTrailSuperLite,2015,20 - 25,flexible,6,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
5360780644800,HI,b,TRUE,Hymer,Aktiv,2018,15 - 20,custom,4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
5483041902960,CA,c,TRUE,Jayco,Redhawk,2017,30 - 35,strict,10,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
5554330189440,CA,trailer,FALSE,Forest River,Other,2016,25 - 30,moderate,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
5559624483600,OH,c,TRUE,Coachmen,Concord,2013,30 - 35,flexible,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
5601855713760,NV,c,TRUE,Thor Motor Coach,Other,2017,20 - 25,flexible,5,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
5610720578400,WA,trailer,FALSE,K-Z Manufacturing,Sportsmen,2017,15 - 20,flexible,3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
5629312169520,UT,b,TRUE,Winnebago,Era,2014,20 - 25,moderate,2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
5637068926080,AZ,trailer,FALSE,Heartland,Trail Runner,2018,30 - 35,flexible,9,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
5714390245440,CA,camper-van,TRUE,Volkswagen,Winnebago,2000,15 - 20,,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
5743324178640,AB,camper-van,TRUE,CamperCraft,Sprinter 144,2007,5 - 10,moderate,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
5796882735840,FL,trailer,FALSE,Starcraft,Autumn Ridge,2018,25 - 30,moderate,8,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
5836035888000,AZ,a,TRUE,Winnebago,Vista,2014,35 - 40,moderate,8,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
5840222074080,MA,a,TRUE,Thor Motor Coach,Hurricane,2014,30 - 35,strict,10,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
5866693544880,NJ,camper-van,TRUE,Mercedes-Benz,Sprinter,2016,15 - 20,moderate,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
5872234085280,AZ,c,TRUE,Itasca,Spirit,1999,25 - 30,moderate,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
5875065917040,CO,camper-van,TRUE,Other,Other,2017,15 - 20,moderate,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
5877774625680,NC,c,TRUE,Thor,Quantum,2017,30 - 35,moderate,8,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
5962606455360,CA,a,TRUE,Forest River,Fr3,2018,30 - 35,custom,10,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5967531380160,TX,c,TRUE,Other,Other,2018,25 - 30,strict,6,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
5987354202480,CA,b,TRUE,Hymer,Aktiv,2019,20 - 25,moderate,4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
5999666514480,NJ,c,TRUE,Dutchmen,Dutchmen,2008,30 - 35,flexible,5,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
6007300147920,HI,camper-van,TRUE,Ford,Other,2002,20 - 25,flexible,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6016534381920,MO,a,TRUE,Damon,Tuscany,2006,>= 40,strict,4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
6051008855520,CA,camper-van,TRUE,Chevrolet,Open Road,1998,15 - 20,moderate,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
6078219065040,TX,a,TRUE,Coachmen,Mirada,2010,30 - 35,strict,5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
6087822668400,NJ,trailer,FALSE,Heartland,Prowler Lynx,2015,30 - 35,flexible,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
6114909754800,AZ,camper-van,TRUE,Ford Expedition Camper Van,Roadtrip & 4x4 Camper Van,2003,15 - 20,moderate,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
6150861705840,TX,c,TRUE,Thor Motor Coach,Four Winds,2018,30 - 35,moderate,8,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
6175855699200,FL,c,TRUE,Thor,Freedom Elite,2017,20 - 25,strict,4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
6181396239600,AZ,trailer,FALSE,Heartland,North Trail,2017,30 - 35,strict,10,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
6189399242400,CA,camper-van,TRUE,Volkswagen,Vanagon,1974,15 - 20,moderate,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6208975818480,AZ,c,TRUE,majestic,29qb,2013,30 - 35,,8,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
6210207049680,AZ,c,TRUE,Majestic Leisure Craft,25c,2013,25 - 30,,6,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
6220549391760,AZ,c,TRUE,Coachmen,2015 leprechaun 28 foot motorhome with Slide-out sleeps 8,2015,25 - 30,,8,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
6291837678240,SC,fifth-wheel,FALSE,Other,Other,2018,>= 40,moderate,8,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
6298363203600,TX,camper-van,TRUE,Volkswagen,Westfalia,1984,15 - 20,flexible,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
6359801640480,FL,camper-van,TRUE,Pleasure Way,Plateau Ts,2014,30 - 35,flexible,4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6427149987120,ON,trailer,FALSE,Little Guy,Other,2016,10 - 15,flexible,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
6447957794400,UT,a,TRUE,Other,Outlaw,2015,35 - 40,moderate,9,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
6459038875200,ID,trailer,FALSE,Jayco,Baja,2018,25 - 30,moderate,10,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
6506441276400,CO,camper-van,TRUE,Volkswagen,Vanagon,1983,15 - 20,moderate,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
6526017852480,NC,c,TRUE,Jayco,Redhawk,2018,25 - 30,moderate,6,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
6535375209600,AZ,trailer,FALSE,Winnebago,Minnie,2019,25 - 30,moderate,6,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
6551381215200,NC,c,TRUE,,,2015,20 - 25,,6,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
6552981815760,KY,c,TRUE,Thor Motor Coach,Quantum,2018,30 - 35,strict,8,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
6602477310000,WA,camper-van,TRUE,Ram,Promaster 3500 extended,2014,25 - 30,moderate,4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
6622792624800,OR,c,TRUE,Jayco,Redhawk,2018,25 - 30,flexible,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
6645570402000,IL,c,TRUE,Ford,Triton V10,2013,25 - 30,moderate,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
6770540368800,CA,c,TRUE,Thor Motor Coach,Fourwinds,2017,20 - 25,moderate,4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
6827423250240,WA,camper-van,TRUE,Gmc,Savanna,2000,20 - 25,strict,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6884675501040,MI,trailer,FALSE,Gulf Stream,Vintage Cruiser,2016,20 - 25,strict,3,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
6892555380720,WA,trailer,FALSE,Forest River,R-Pod,2016,15 - 20,moderate,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
6899080906080,GA,trailer,FALSE,Airstream,International,2016,25 - 30,flexible,4,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
6900312137280,CA,trailer,FALSE,Keystone,Springdale,2018,20 - 25,moderate,5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
6908315140080,CA,trailer,FALSE,Keystone,Bullet,2018,25 - 30,strict,10,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
6940696520640,GA,a,TRUE,Thor Motor Coach,Windsport,2017,35 - 40,strict,10,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
